2025-03-20 18:44:58,082 - INFO - SVDT1 Time: 31/08/2023 22:46:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.4, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 160, PM2.5: 0.6, PM10: 0.8, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:58,593 - INFO - SVDT1 Time: 31/08/2023 22:45:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.4, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 146, PM2.5: 1.1, PM10: 1.4, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:59,102 - INFO - SVDT1 Time: 31/08/2023 22:44:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.3, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 102, PM2.5: 1.1, PM10: 1.5, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:59,615 - INFO - SVDT1 Time: 31/08/2023 22:43:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.3, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 101, PM2.5: 1.1, PM10: 8.6, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:45:00,128 - INFO - SVDT1 Time: 31/08/2023 22:42:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.3, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 130, PM2.5: 1.2, PM10: 2.1, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:45:00,639 - INFO - SVDT1 Time: 31/08/2023 22:41:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.3, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 84, PM2.5: 0.8, PM10: 1.8, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:45:01,149 - INFO - SVDT1 Time: 31/08/2023 22:40:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.3, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 114, PM2.5: 0.7, PM10: 1.3, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:45:01,659 - INFO - SVDT1 Time: 31/08/2023 22:39:00, Station: SVDT1, Temperature: 26.1, Moisture: 98.3, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 122, PM2.5: 0.4, PM10: 0.7, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:45:02,173 - INFO - SVDT1 Time: 31/08/2023 22:38:00, Station: SVDT1, Temperature: 26.1, Moisture: 98.3, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 83, PM2.5: 1.2, PM10: 3.7, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:45:02,679 - INFO - SVDT1 Time: 31/08/2023 22:37:00, Station: SVDT1, Temperature: 26.1, Moisture: 98.2, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 150, PM2.5: 1, PM10: 2.6, CO: 2, NOx: 0, SO2: 0
